point_id,edge_id,sample_index,latitude,longitude,current_shade,last_1h_fraction,last_2h_fraction,last_4h_fraction,since_dawn_fraction,timestamp,scenario,test_time,season
main_ew_002_31,main_ew_002,31,42.267926,-71.07421183392883,False,0.0,0.0,0.0,0.06666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_32,main_ew_002,32,42.267926,-71.07407708663622,False,0.0,0.0,0.0,0.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_33,main_ew_002,33,42.267926,-71.0739423393436,True,0.3333333333333333,0.4,0.6666666666666666,0.8,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_34,main_ew_002,34,42.267926,-71.07380759205098,False,0.0,0.0,0.0,0.13333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_35,main_ew_002,35,42.267926,-71.07367284475836,False,0.0,0.0,0.0,0.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_36,main_ew_002,36,42.267926,-71.07353809746574,True,1.0,1.0,1.0,1.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_37,main_ew_002,37,42.267926,-71.07340335017314,False,0.0,0.0,0.1111111111111111,0.4666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_38,main_ew_002,38,42.267926,-71.07326860288052,True,0.6666666666666666,0.4,0.2222222222222222,0.5333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_39,main_ew_002,39,42.267926,-71.07313385558788,False,0.0,0.0,0.1111111111111111,0.4666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_40,main_ew_002,40,42.267926,-71.07299910829528,True,1.0,1.0,1.0,1.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_41,main_ew_002,41,42.267926,-71.07286436100266,False,0.3333333333333333,0.6,0.7777777777777778,0.8666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_42,main_ew_002,42,42.267926,-71.07272961371004,True,0.3333333333333333,0.2,0.3333333333333333,0.6,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_43,main_ew_002,43,42.267926,-71.07259486641742,False,0.0,0.0,0.0,0.13333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_44,main_ew_002,44,42.267926,-71.0724601191248,False,0.0,0.2,0.5555555555555556,0.7333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_45,main_ew_002,45,42.267926,-71.07232537183219,False,0.0,0.0,0.2222222222222222,0.5333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_46,main_ew_002,46,42.267926,-71.07219062453957,False,0.0,0.0,0.0,0.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_47,main_ew_002,47,42.267926,-71.07205587724694,False,0.0,0.0,0.0,0.2,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_48,main_ew_002,48,42.267926,-71.07192112995433,False,0.0,0.0,0.4444444444444444,0.6666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_49,main_ew_002,49,42.267926,-71.07178638266171,False,0.0,0.0,0.0,0.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_50,main_ew_002,50,42.267926,-71.0716516353691,False,0.6666666666666666,0.8,0.8888888888888888,0.9333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_51,main_ew_002,51,42.267926,-71.07151688807647,False,0.0,0.0,0.4444444444444444,0.6666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
